,order,trainMAPE,trainMSE,trainMAE,testMAPE,testMSE,testMAE
0,"[0, 0, 0]",2.6716848659166495e+18,1549701.375406988,658.0010755711654,3.075913577874345e+18,1672033.5447949253,737.8758689803925
1,"[0, 0, 1]",164092869485811.16,470634.49627440027,400.03919570038136,3.075799741168011e+18,1689264.2974502607,738.0025802921068
2,"[0, 0, 2]",164092869485806.0,229461.6977027254,295.0546903725555,3.075661368583569e+18,1672110.8593280194,737.8247028138398
3,"[0, 0, 3]",164092869485804.06,143971.50326933735,247.61728266263614,3.0753816477486316e+18,1672114.7611258887,737.8283654549314
4,"[0, 0, 4]",164092869485807.12,112203.75020002174,221.21131217565926,3.075338957634218e+18,1672131.1032895453,737.8380709122733
5,"[0, 0, 6]",164092869485807.7,171516.04460425494,294.8998350645045,3.075047110497407e+18,1672092.1654212049,737.8657782077569
6,"[0, 0, 8]",164092869485803.53,131873.61542905192,256.88837226501283,3.0747361127799885e+18,1672446.4887009955,738.164641635382
7,"[0, 0, 10]",164092869485803.0,98737.36163555758,219.89616732283432,3.074254783886389e+18,1672814.9646527811,738.3704121402028
8,"[0, 0, 16]",164092869485802.66,68622.97360836715,174.14312198839582,3.073058477191262e+18,1672028.7206628425,737.7818197145049
9,"[0, 0, 24]",164092869485801.84,48691.59922973361,141.90192554007885,3.071611027982669e+18,1673033.7011934256,738.7735360290371
10,"[1, 0, 0]",170436425882043.34,76134.01156897483,164.97587969629555,2.332563687729554e+18,1828254.1604472175,759.9965150431957
11,"[1, 0, 1]",164092869485804.22,61413.53547586408,163.8660064983748,2.8222500567871396e+18,1827081.3420613427,759.7113168583061
12,"[1, 0, 2]",164092869485802.72,58625.34872130592,162.74014545158286,2.903588885204475e+18,1831737.1660509438,760.5912673533634
13,"[1, 0, 3]",164092869485805.3,68623.50887724324,166.79684392471623,2.9548793870837883e+18,1671794.0762010813,737.4993997620132
14,"[1, 0, 4]",164092869485804.84,68618.02329217736,166.7498572719262,2.957336380486935e+18,1671794.269679534,737.5014515909293
15,"[1, 0, 6]",164092869485803.84,59391.3758162389,165.23929650544594,1.638594248471812e+18,1826307.5664368502,759.4461042482732
16,"[1, 0, 8]",164092869485803.94,61079.62741764825,169.36913773676545,3.037757974931995e+18,1775425.3639214635,750.643499012657
17,"[1, 0, 10]",164092869485802.53,67697.79773535862,166.61772785269724,2.979770643251291e+18,1671837.050551962,737.4620598056366
18,"[1, 0, 16]",164092869485804.38,66481.1136716993,170.0842988570702,3.011750081206743e+18,1671783.8970275472,737.4661437273138
19,"[1, 0, 24]",164092869485803.1,50586.62813386207,144.10236044764804,2.312129403901861e+18,1671992.039290485,737.7097208582375
20,"[2, 0, 0]",164092869485802.25,58311.179910622624,162.69044141692763,2.963509909692155e+18,1833186.530732047,760.9071802476826
21,"[2, 0, 1]",164092869485804.44,58309.93970804568,162.7465852286803,2.962519906879732e+18,1833140.130753797,760.8968060135168
22,"[2, 0, 2]",164092869485804.4,58845.787067165715,165.17052993705678,2.963135365583526e+18,1852340.6639818156,764.5298445735674
23,"[2, 0, 3]",164092869485802.8,67669.30832261847,166.4867687215427,2.8601657431786414e+18,1672600.815354647,737.6708979586144
24,"[2, 0, 4]",164092869485808.62,67548.21312520717,166.33568898296187,2.859996234541045e+18,1672786.2420462773,737.6379112046604
25,"[2, 0, 6]",164092869485802.25,68030.34766823688,167.23114548084752,2.9685196152348385e+18,1672086.6063436612,737.4506082437404
26,"[2, 0, 8]",164092869485802.06,67196.12129186714,166.58179218947916,2.88770776368203e+18,1671754.4937049688,737.3258934329418
27,"[2, 0, 10]",164092869485805.1,66991.16869749577,166.81732818793006,2.9015948069655255e+18,1671697.0355299592,737.3321085380803
28,"[2, 0, 16]",164092869485802.66,66465.74473168344,169.730409017676,3.001173717956866e+18,1671738.6151130209,737.4369893758577
29,"[2, 0, 24]",164092869485802.5,47898.813392306554,140.99627554187617,2.8250103407492367e+18,1673593.5542474391,739.3060281084762
30,"[3, 0, 0]",164092869485808.5,58309.84442488009,162.75098447236837,2.9624027062380984e+18,1833126.192247233,760.8940675392669
31,"[0, 0, 0]",5.966773006615273e+17,58214.782235356884,144.71479380706856,7.211651531047741e+17,72582.74557982649,173.5391195503274
32,"[0, 0, 1]",3464722757064.7427,48480.94601337922,142.4018576363984,7.210827989247388e+17,72591.19849708487,173.5568764987169
33,"[0, 0, 2]",3464722757087.967,47707.58903520509,141.84758704121583,7.209966922591236e+17,72594.73535706878,173.56425392249616
34,"[0, 0, 3]",3464722757078.1353,47705.843057585626,141.8579650141226,7.209458278029211e+17,72595.1740881177,173.5651405442747
35,"[0, 0, 4]",3464722757070.39,47599.33217677257,141.93256710897603,7.206533956094459e+17,72588.70174803425,173.55255201505787
36,"[0, 0, 6]",3464722757084.4697,47542.268804398285,141.913843789016,7.205286854862029e+17,72590.30259600746,173.55753025644088
37,"[0, 0, 8]",3464722757063.1855,47441.36029369833,141.60291730244154,7.20330637636151e+17,72583.87644297483,173.54618105852714
38,"[0, 0, 10]",3464722757066.8228,47069.44949805642,141.96059264359542,7.202124381962049e+17,72578.12262256168,173.55032910693456
39,"[0, 0, 16]",3464722757065.3643,45791.80790259935,141.24772641611406,7.198889738363931e+17,72577.74407685192,173.55252357968038
40,"[0, 0, 24]",3464722757063.2764,42106.97461352975,136.42854907361914,7.185279006868169e+17,72546.65160029131,173.5157549220451
41,"[1, 0, 0]",5576945687103.423,48114.52905738065,141.3726697358111,7.158065796779643e+17,72605.02205423414,173.58318127886957
42,"[1, 0, 1]",3464722757074.1655,47791.08465136651,141.938059691461,7.171300972403846e+17,72598.09628376884,173.57069085199552
43,"[1, 0, 2]",3464722757062.389,47706.54728027572,141.85339164196208,7.200485793954337e+17,72595.01697393984,173.56482226607454
44,"[1, 0, 3]",3464722757061.8223,47143.12659726686,140.38255801384733,5.999407608366729e+17,72678.7710399147,173.4826123409911
45,"[1, 0, 4]",3464722757128.0747,47215.16243045699,140.90096262472372,6.442282198126491e+17,72581.24511191159,173.51988276430438
46,"[1, 0, 6]",3464722757066.394,47040.98445037075,141.04416850187806,6.703710769405455e+17,72582.88570443282,173.52718678429179
47,"[1, 0, 8]",3464722757064.4585,47023.15355865845,141.1568309165155,6.794768763643411e+17,72584.13479745155,173.5368847854404
