,PSEforecast,Load
2015-01-01 23:00:00+00:00,13828.0,13720.8
2015-01-02 00:00:00+00:00,13212.0,13258.475
2015-01-02 01:00:00+00:00,13028.0,13010.575
2015-01-02 02:00:00+00:00,13056.0,13006.9
2015-01-02 03:00:00+00:00,13426.0,13241.45
2015-01-02 04:00:00+00:00,14309.0,13985.825
2015-01-02 05:00:00+00:00,15800.0,15719.825
2015-01-02 06:00:00+00:00,17283.0,16899.625
2015-01-02 07:00:00+00:00,17764.0,17782.8
2015-01-02 08:00:00+00:00,18537.0,18763.35
2015-01-02 09:00:00+00:00,19148.0,19358.025
2015-01-02 10:00:00+00:00,19441.0,19743.775
2015-01-02 11:00:00+00:00,19702.0,20030.825
2015-01-02 12:00:00+00:00,19830.0,20491.95
2015-01-02 13:00:00+00:00,20050.0,20393.95
2015-01-02 14:00:00+00:00,20328.0,20516.4
2015-01-02 15:00:00+00:00,21690.0,21503.975
2015-01-02 16:00:00+00:00,21629.0,21448.8
2015-01-02 17:00:00+00:00,21356.0,21109.575
2015-01-02 18:00:00+00:00,21079.0,20924.3
2015-01-02 19:00:00+00:00,20360.0,20286.175
2015-01-02 20:00:00+00:00,19090.0,19113.525
2015-01-02 21:00:00+00:00,17590.0,17908.1
2015-01-02 22:00:00+00:00,16215.0,16641.7
2015-01-02 23:00:00+00:00,15168.0,15491.375
2015-01-03 00:00:00+00:00,14349.0,14866.75
2015-01-03 01:00:00+00:00,13955.0,14559.7
2015-01-03 02:00:00+00:00,13834.0,14399.3
2015-01-03 03:00:00+00:00,13946.0,14584.075
2015-01-03 04:00:00+00:00,14373.0,14754.5
2015-01-03 05:00:00+00:00,15354.0,15689.425
2015-01-03 06:00:00+00:00,16219.0,16285.25
2015-01-03 07:00:00+00:00,17170.0,17005.975
2015-01-03 08:00:00+00:00,18296.0,18138.15
2015-01-03 09:00:00+00:00,18982.0,18846.65
2015-01-03 10:00:00+00:00,19308.0,19193.75
2015-01-03 11:00:00+00:00,19371.0,19228.25
2015-01-03 12:00:00+00:00,19484.0,19455.45
2015-01-03 13:00:00+00:00,19230.0,19216.575
2015-01-03 14:00:00+00:00,19599.0,19568.15
2015-01-03 15:00:00+00:00,20782.0,20674.05
2015-01-03 16:00:00+00:00,20909.0,20548.275
2015-01-03 17:00:00+00:00,20614.0,20469.95
2015-01-03 18:00:00+00:00,20460.0,20157.95
2015-01-03 19:00:00+00:00,19780.0,19535.675
2015-01-03 20:00:00+00:00,18609.0,18337.525
2015-01-03 21:00:00+00:00,17347.0,17324.4
2015-01-03 22:00:00+00:00,16205.0,16106.925
2015-01-03 23:00:00+00:00,14800.0,15072.2
2015-01-04 00:00:00+00:00,14000.0,14350.25
2015-01-04 01:00:00+00:00,13500.0,13946.2
2015-01-04 02:00:00+00:00,13250.0,13792.85
2015-01-04 03:00:00+00:00,13300.0,13817.225
2015-01-04 04:00:00+00:00,13400.0,13964.8
2015-01-04 05:00:00+00:00,13900.0,14381.15
2015-01-04 06:00:00+00:00,14100.0,14469.725
2015-01-04 07:00:00+00:00,15000.0,15067.3
2015-01-04 08:00:00+00:00,15900.0,16019.325
2015-01-04 09:00:00+00:00,16600.0,16764.95
2015-01-04 10:00:00+00:00,16850.0,17174.65
2015-01-04 11:00:00+00:00,17150.0,17300.2
2015-01-04 12:00:00+00:00,17300.0,17593.1
