Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE


20230102;1;13750;13061,350
20230102;2;13200;12670,100
20230102;3;12900;12463,013
20230102;4;12950;12498,000
20230102;5;13750;12940,938
20230102;6;15500;14033,350
20230102;7;19150;17060,163
20230102;8;20350;19173,663
20230102;9;21450;20275,263
20230102;10;22250;20898,725
20230102;11;22600;20931,363
20230102;12;22750;20994,688
20230102;13;23000;21083,675
20230102;14;23300;21114,675
20230102;15;22800;20818,250
20230102;16;22850;21139,463
20230102;17;23500;22016,213
20230102;18;23450;22085,575
20230102;19;23150;21804,400
20230102;20;22950;21579,475
20230102;21;22600;21132,613
20230102;22;21550;19844,125
20230102;23;20050;18407,213
20230102;24;18600;17091,938
20230103;1;15701;16199,338
20230103;2;14956;15568,138
20230103;3;14707;15259,925
20230103;4;14688;15292,700
20230103;5;14912;15724,850
20230103;6;15813;16607,450
20230103;7;18730;19030,613
20230103;8;20820;20891,188
20230103;9;21496;21600,188
20230103;10;21848;22186,513
20230103;11;21813;22166,800
20230103;12;22024;22221,775
20230103;13;22074;22251,575
20230103;14;22352;22225,900
20230103;15;22049;22031,463
20230103;16;22112;22237,663
20230103;17;23120;23150,100
20230103;18;23178;23203,075
20230103;19;22824;22975,163
20230103;20;22560;22792,250
20230103;21;21940;22088,788
20230103;22;20681;20808,938
20230103;23;19226;19307,163
20230103;24;17793;17997,963


20230103;1;15701;16199,338
20230103;2;14956;15568,138
20230103;3;14707;15259,925
20230103;4;14688;15292,700
20230103;5;14912;15724,850
20230103;6;15813;16607,450
20230103;7;18730;19030,613
20230103;8;20820;20891,188
20230103;9;21496;21600,188
20230103;10;21848;22186,513
20230103;11;21813;22166,800
20230103;12;22024;22221,775
20230103;13;22074;22251,575
20230103;14;22352;22225,900
20230103;15;22049;22031,463
20230103;16;22112;22237,663
20230103;17;23120;23150,100
20230103;18;23178;23203,075
20230103;19;22824;22975,163
20230103;20;22560;22792,250
20230103;21;21940;22088,788
20230103;22;20681;20808,938
20230103;23;19226;19307,163
20230103;24;17793;17997,963
20230104;1;16800;16934,725
20230104;2;16050;16426,325
20230104;3;15700;16085,463
20230104;4;15750;16102,200
20230104;5;16250;16582,538
20230104;6;17800;17476,700
20230104;7;21150;20125,338
20230104;8;21950;22094,413
20230104;9;22700;22771,325
20230104;10;22750;22910,113
20230104;11;22900;22506,275
20230104;12;23100;22533,288
20230104;13;23250;22831,475
20230104;14;23450;23140,763
20230104;15;23100;22935,275
20230104;16;23400;22886,288
20230104;17;24000;23544,263
20230104;18;24000;23307,125
20230104;19;23600;22965,638
20230104;20;23350;22718,675
20230104;21;22900;22195,375
20230104;22;21800;20734,000
20230104;23;20250;19134,650
20230104;24;18800;17774,063


20230104;1;16800;16934,725
20230104;2;16050;16426,325
20230104;3;15700;16085,463
20230104;4;15750;16102,200
20230104;5;16250;16582,538
20230104;6;17800;17476,700
20230104;7;21150;20125,338
20230104;8;21950;22094,413
20230104;9;22700;22771,325
20230104;10;22750;22910,113
20230104;11;22900;22506,275
20230104;12;23100;22533,288
20230104;13;23250;22831,475
20230104;14;23450;23140,763
20230104;15;23100;22935,275
